dataset,processes,run,runtime
data_64_64_64_3,8,1,0.978530
data_64_64_64_3,8,2,0.884059
data_64_64_64_3,16,1,2.697164
data_64_64_64_3,16,2,2.161424
data_64_64_64_3,32,1,4.234170
data_64_64_64_3,32,2,4.121551
data_64_64_64_3,64,1,5.585447
data_64_64_64_3,64,2,4.750395
data_64_64_96_7,8,1,3.192234
data_64_64_96_7,8,2,3.101616
data_64_64_96_7,16,1,4.546478
data_64_64_96_7,16,2,4.558555
data_64_64_96_7,32,1,6.398150
data_64_64_96_7,32,2,6.663153
data_64_64_96_7,64,1,7.182369
data_64_64_96_7,64,2,6.580289
